aran_id,akt_id
1,5
1,8
2,7
2,8
3,8
3,5
4,5
4,5
5,2
5,3
6,7
6,5
7,5
7,6
7,6
7,1
8,3
8,1
8,8
8,8
9,1
9,2
9,8
9,4
10,8
10,2
10,3
10,8
11,7
11,1
11,4
11,5
12,4
12,2
12,5
12,1
13,5
13,6
13,4
13,2
13,3
13,6
14,7
14,5
14,4
14,1
14,2
14,4
15,4
15,1
15,3
15,7
15,7
15,5
16,2
16,6
16,3
16,3
16,3
16,7
17,6
17,8
17,3
17,4
17,5
17,8
18,5
18,2
18,6
18,6
18,4
18,3
19,3
19,2
19,4
19,6
19,2
19,8
19,7
19,2
19,8
20,6
20,4
20,5
20,4
20,2
20,3
20,5
20,2
20,1
21,2
21,5
21,2
21,4
21,7
21,4
21,3
21,1
21,8
22,5
22,6
22,7
22,8
22,3
22,8
22,6
22,1
22,6
23,3
23,6
23,6
23,1
23,4
23,3
23,6
23,7
23,2
24,2
24,3
24,1
24,1
24,8
24,3
24,5
24,5
24,2
25,5
25,7
25,1
25,5
25,3
25,3
25,2
25,2
25,8
25,1
25,6
25,3
25,3
26,6
26,2
26,7
26,5
26,6
26,4
26,4
26,2
26,6
26,2
26,7
26,8
26,1
27,2
27,2
27,8
27,4
27,3
27,8
27,7
27,7
27,8
27,7
27,7
27,6
27,6
28,4
28,5
28,4
28,8
28,4
28,3
28,8
28,6
28,7
28,1
28,4
28,4
28,4
29,8
29,2
29,1
29,1
29,7
29,4
29,1
29,2
29,5
29,6
29,6
29,4
29,1
30,5
30,7
30,6
30,1
30,4
30,7
30,6
30,4
30,3
30,3
30,6
30,7
30,7
31,3
31,5
32,4
32,6
33,4
33,8
34,8
34,5
35,5
35,1
36,7
36,6
37,4
37,1
37,3
37,6
38,7
38,3
38,2
38,4
39,2
39,2
39,5
39,1
40,8
40,1
40,3
40,3
41,2
41,6
41,7
41,4
42,1
42,6
42,6
42,4
43,5
43,2
43,5
43,4
43,2
43,7
44,6
44,6
44,4
44,2
44,2
44,6
45,7
45,1
45,6
45,2
45,7
45,6
46,4
46,5
46,5
46,7
46,2
46,4
47,3
47,3
47,5
47,8
47,4
47,5
48,1
48,4
48,6
48,8
48,7
48,3
49,8
49,6
49,1
49,3
49,3
49,5
49,2
49,6
49,8
50,4
50,5
50,1
50,3
50,6
50,5
50,4
50,7
50,3
51,3
51,1
51,8
51,3
51,4
51,4
51,8
51,6
51,4
52,3
52,2
52,5
52,2
52,2
52,7
52,7
52,4
52,8
53,7
53,7
53,5
53,6
53,5
53,8
53,3
53,1
53,4
54,3
54,1
54,4
54,4
54,6
54,1
54,6
54,7
54,5
55,1
55,2
55,7
55,7
55,1
55,7
55,6
55,6
55,3
55,4
55,2
55,2
55,5
56,8
56,5
56,5
56,5
56,2
56,1
56,6
56,8
56,2
56,4
56,3
56,1
56,8
57,2
57,3
57,3
57,8
57,3
57,6
57,5
57,2
57,5
57,2
57,7
57,4
57,6
58,7
58,2
58,1
58,2
58,2
58,2
58,3
58,6
58,4
58,4
58,1
58,2
58,7
59,3
59,2
59,5
59,4
59,2
59,3
59,6
59,6
59,5
59,2
59,5
59,8
59,5
60,7
60,7
60,3
60,3
60,7
60,6
60,4
60,6
60,8
60,5
60,4
60,5
60,8
61,7
61,6
62,4
62,5
63,1
63,8
64,3
64,4
65,3
65,1
66,1
66,2
67,7
67,8
67,3
67,6
68,4
68,5
68,8
68,6
69,6
69,6
69,1
69,5
70,3
70,4
70,7
70,1
71,5
71,5
71,3
71,6
72,4
72,5
72,4
72,1
73,2
73,1
73,3
73,6
73,5
73,7
74,3
74,3
74,6
74,5
74,8
74,7
75,4
75,8
75,3
75,8
75,6
75,4
76,5
76,2
76,7
76,1
76,6
76,2
77,8
77,3
77,2
